OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,ATTRIBUTES,MATH FIDELITY,CORE COUNT,PARALLELIZATION STRATEGY,HOST START TS,HOST END TS,HOST DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns],DEVICE FW DURATION [ns],DEVICE KERNEL DURATION [ns],DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DURATION PER CORE MIN [ns],DEVICE KERNEL DURATION PER CORE MAX [ns],DEVICE KERNEL DURATION PER CORE AVG [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],DEVICE COMPUTE CB WAIT FRONT [ns],DEVICE COMPUTE CB RESERVE BACK [ns],DISPATCH TOTAL CQ CMD OP TIME [ns],DISPATCH GO SEND WAIT TIME [ns],INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_0_LAYOUT,INPUT_0_DATATYPE,INPUT_0_MEMORY,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,INPUT_1_LAYOUT,INPUT_1_DATATYPE,INPUT_1_MEMORY,INPUT_2_W,INPUT_2_Z,INPUT_2_Y,INPUT_2_X,INPUT_2_LAYOUT,INPUT_2_DATATYPE,INPUT_2_MEMORY,INPUT_3_W,INPUT_3_Z,INPUT_3_Y,INPUT_3_X,INPUT_3_LAYOUT,INPUT_3_DATATYPE,INPUT_3_MEMORY,INPUT_4_W,INPUT_4_Z,INPUT_4_Y,INPUT_4_X,INPUT_4_LAYOUT,INPUT_4_DATATYPE,INPUT_4_MEMORY,OUTPUT_0_W,OUTPUT_0_Z,OUTPUT_0_Y,OUTPUT_0_X,OUTPUT_0_LAYOUT,OUTPUT_0_DATATYPE,OUTPUT_0_MEMORY,OUTPUT_1_W,OUTPUT_1_Z,OUTPUT_1_Y,OUTPUT_1_X,OUTPUT_1_LAYOUT,OUTPUT_1_DATATYPE,OUTPUT_1_MEMORY,OUTPUT_2_W,OUTPUT_2_Z,OUTPUT_2_Y,OUTPUT_2_X,OUTPUT_2_LAYOUT,OUTPUT_2_DATATYPE,OUTPUT_2_MEMORY,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,COMPUTE KERNEL SOURCE,COMPUTE KERNEL HASH,DATA MOVEMENT KERNEL SOURCE,DATA MOVEMENT KERNEL HASH,BRISC MAX KERNEL SIZE [B],NCRISC MAX KERNEL SIZE [B],TRISC 0 MAX KERNEL SIZE [B],TRISC 1 MAX KERNEL SIZE [B],TRISC 2 MAX KERNEL SIZE [B],ERISC MAX KERNEL SIZE [B],PM IDEAL [ns],PM COMPUTE [ns],PM BANDWIDTH [ns],PM REQ I BW,PM REQ O BW,PM FPU UTIL (%),NOC UTIL (%),DRAM BW UTIL (%),NPE CONG IMPACT (%)
Untilize,tt_dnn_device,1024,0,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'fp32_dest_acc_en': 'false'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_multicore': 'true'; 'use_pack_untilize': 'true'},HiFi4,8,,12178572042,12178719331,147289,2170879416472,2170879425938,0,0,9466,8694,8430,8245,8612,8402,370,8411,2803,3152,270,3455,,,,,,1,1,256,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,256,128,ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/compute/pack_untilize_variable_num_blocks.cpp'],['pack_untilize_variable_num_blocks/2453424717168989871/'],['ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/dataflow/reader_unary_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/dataflow/writer_unary_stick_layout_split_rows_multi_core.cpp'],['reader_unary_start_id/15417245311968028693/'; 'writer_unary_stick_layout_split_rows_multi_core/10787338190474199653/'],2556,2160,1140,756,3432,0,236,1,236,[277.6949157714844],[277.6949157714844],0.012,,,
Untilize,tt_dnn_device,1025,1,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'fp32_dest_acc_en': 'false'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_multicore': 'true'; 'use_pack_untilize': 'true'},HiFi4,8,,12178719641,12178778481,58840,2170884183598,2170884192869,0,0,9271,8480,8249,8258,8478,8346,328,8227,2629,2960,267,3256,,,,,,1,1,256,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,256,128,ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/compute/pack_untilize_variable_num_blocks.cpp'],['pack_untilize_variable_num_blocks/2453424717168989871/'],['ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/dataflow/reader_unary_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/dataflow/writer_unary_stick_layout_split_rows_multi_core.cpp'],['reader_unary_start_id/15417245311968028693/'; 'writer_unary_stick_layout_split_rows_multi_core/10787338190474199653/'],2556,2160,1140,756,3432,0,236,1,236,[277.6949157714844],[277.6949157714844],0.012,2.5,2.8,0.0
Embeddings,tt_dnn_device,2048,0,{'embeddings_type': 'EmbeddingsType::GENERIC'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'pad_token': 'std::nullopt'; 'tilized': 'true'},HiFi4,1,,12666437980,12666573669,135689,2171360206687,2171360215295,480781586,480781854,8608,7772,7504,7772,7772,7772,305,7467,4660,5184,5067,5291,,,,,,1,1,1,32,ROW_MAJOR,UINT32,DEV_0_DRAM_INTERLEAVED,1,1,256,128,ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize.cpp'],['tilize/52824989527268206/'],['ttnn/cpp/ttnn/operations/embedding/device/kernels/dataflow/embeddings_tilize.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['embeddings_tilize/12435615352904728427/'; 'writer_unary_interleaved_start_id/5381208582363474581/'],2104,2572,1108,844,2040,0,236,1,236,[0.5423728823661804; 277.6949157714844],[34.71186447143555],0.013,,,
Embeddings,tt_dnn_device,2049,1,{'embeddings_type': 'EmbeddingsType::GENERIC'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'pad_token': 'std::nullopt'; 'tilized': 'true'},HiFi4,1,,12666573989,12666639238,65249,2171364973183,2171364981985,480781151,480781422,8802,7964,7693,7964,7964,7964,302,7662,4676,5205,5086,5309,,,,,,1,1,1,32,ROW_MAJOR,UINT32,DEV_0_DRAM_INTERLEAVED,1,1,256,128,ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize.cpp'],['tilize/52824989527268206/'],['ttnn/cpp/ttnn/operations/embedding/device/kernels/dataflow/embeddings_tilize.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['embeddings_tilize/12435615352904728427/'; 'writer_unary_interleaved_start_id/5381208582363474581/'],2104,2572,1108,844,2040,0,236,1,236,[0.5423728823661804; 277.6949157714844],[34.71186447143555],0.013,0.1,0.4,0.0
Untilize,tt_dnn_device,3072,0,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'fp32_dest_acc_en': 'false'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_multicore': 'true'; 'use_pack_untilize': 'true'},HiFi4,8,,12676187481,12676193661,6180,2171369811503,2171369820790,9597106,9597243,9287,8389,8252,8069,8334,8261,266,8222,2633,2910,269,3249,,,,,,1,1,256,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,256,128,ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/compute/pack_untilize_variable_num_blocks.cpp'],['pack_untilize_variable_num_blocks/2453424717168989871/'],['ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/dataflow/reader_unary_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/dataflow/writer_unary_stick_layout_split_rows_multi_core.cpp'],['reader_unary_start_id/15417245311968028693/'; 'writer_unary_stick_layout_split_rows_multi_core/10787338190474199653/'],2556,2160,1140,756,3432,0,236,1,236,[277.6949157714844],[277.6949157714844],0.012,,,
Untilize,tt_dnn_device,3073,1,{'enough_space_height': 'true'; 'enough_space_width': 'true'; 'fp32_dest_acc_en': 'false'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'sub_core_grids': 'std::nullopt'; 'use_multicore': 'true'; 'use_pack_untilize': 'true'},HiFi4,8,,12676193731,12676195221,1490,2171374578232,2171374587594,9597139,9597283,9362,8470,8326,8102,8382,8295,274,8295,2719,3003,264,3324,,,,,,1,1,256,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,256,128,ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/compute/pack_untilize_variable_num_blocks.cpp'],['pack_untilize_variable_num_blocks/2453424717168989871/'],['ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/dataflow/reader_unary_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/dataflow/writer_unary_stick_layout_split_rows_multi_core.cpp'],['reader_unary_start_id/15417245311968028693/'; 'writer_unary_stick_layout_split_rows_multi_core/10787338190474199653/'],2556,2160,1140,756,3432,0,236,1,236,[277.6949157714844],[277.6949157714844],0.012,2.6,2.8,0.0
Embeddings,tt_dnn_device,4096,0,{'embeddings_type': 'EmbeddingsType::GENERIC'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'pad_token': 'std::nullopt'; 'tilized': 'true'},HiFi4,1,,12676313070,12676314890,1820,2171369937777,2171369946310,117876,118106,8533,7641,7411,7641,7641,7641,261,7380,4579,5065,4948,5171,,,,,,1,1,1,32,ROW_MAJOR,UINT32,DEV_0_DRAM_INTERLEAVED,1,1,256,128,ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize.cpp'],['tilize/52824989527268206/'],['ttnn/cpp/ttnn/operations/embedding/device/kernels/dataflow/embeddings_tilize.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['embeddings_tilize/12435615352904728427/'; 'writer_unary_interleaved_start_id/5381208582363474581/'],2104,2572,1108,844,2040,0,236,1,236,[0.5423728823661804; 277.6949157714844],[34.71186447143555],0.013,,,
Embeddings,tt_dnn_device,4097,1,{'embeddings_type': 'EmbeddingsType::GENERIC'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'pad_token': 'std::nullopt'; 'tilized': 'true'},HiFi4,1,,12676314950,12676316000,1050,2171374703603,2171374712205,116865,117124,8602,7744,7485,7744,7744,7744,296,7448,4586,5103,4987,5210,,,,,,1,1,1,32,ROW_MAJOR,UINT32,DEV_0_DRAM_INTERLEAVED,1,1,256,128,ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize.cpp'],['tilize/52824989527268206/'],['ttnn/cpp/ttnn/operations/embedding/device/kernels/dataflow/embeddings_tilize.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['embeddings_tilize/12435615352904728427/'; 'writer_unary_interleaved_start_id/5381208582363474581/'],2104,2572,1108,844,2040,0,236,1,236,[0.5423728823661804; 277.6949157714844],[34.71186447143555],0.013,0.1,0.4,0.0
Transpose,tt_dnn_device,5120,0,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'pad_value': '0'},,64,,13230420859,13230529688,108829,2171916009753,2171916035157,546064453,546064453,25404,24393,24393,14974,24180,15814,331,24364,1076,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'],['reader_unary_transpose_hc_interleaved_tiled_padding_aware/9560377486497319667/'; 'writer_unary_transpose_hc_interleaved_tiled_padding_aware/15335693681959085148/'],3088,2300,0,0,0,0,946,1,946,[8.659619331359863],[277.1078186035156],0.004,,,
Transpose,tt_dnn_device,5121,1,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'pad_value': '0'},,64,,13230529808,13230580898,51090,2171920778016,2171920803390,546066818,546066818,25374,24367,24367,14879,24142,15869,326,24338,1058,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'],['reader_unary_transpose_hc_interleaved_tiled_padding_aware/9560377486497319667/'; 'writer_unary_transpose_hc_interleaved_tiled_padding_aware/15335693681959085148/'],3088,2300,0,0,0,0,946,1,946,[8.659619331359863],[277.1078186035156],0.004,9.4,0.1,0.0
